Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
4G;Sony Xperia Z1 LTE Blanco;1309;888900;852900;955900;955900;955900;955900;;;;;;;;;;;;;
4G;Sony Xperia Z2 LTE;1364;1115900;1079900;1484900;1484900;1484900;1579900;;;;;;;;;;;;;
4G;Sony Xperia Z2 LTE Blanco;1365;1115900;1079900;1484900;1484900;1484900;1579900;;;;;;;;;;;;;
4G;Sony Xperia Z3 LTE;1477;1289900;1253900;1291900;1328900;1403900;1554900;;;;;;;;;;;;;
4G;Sony Xperia Z3 LTE Blanco;1478;1289900;1253900;1291900;1328900;1403900;1554900;;;;;;;;;;;;;
4G;Sony Xperia Z5 LTE;1632;2161900;2125900;2189900;2252900;2380900;2635900;;;;;;;;;;;;;
4G;Xiaomi Remi 2 Pro LTE;1685;543900;424900;437900;449900;475900;526900;;;;;;;;;;;;;
4G;ZTE Blade Apex 2 LTE;1422;135900;99900;99900;99900;99900;ND;;;;;;;;;;;;;
4G;ZTE Blade Apex 2 LTE Blanco;1423;135900;99900;99900;99900;99900;ND;;;;;;;;;;;;;
4G;ZTE Blade G LTE;1254;135900;99900;99900;99900;99900;ND;;;;;;;;;;;;;
3G - H+;Alcatel OT Fire C;1399;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;Alcatel OT Fire C Naranja;1400;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;Alcatel Pop C3;1403;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;Alcatel Pop C3 Blanco;1404;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;Alcatel Pop C5;1409;217900;181900;186900;192900;203900;ND;;;;;;;;;;;;;
3G - H+;Alcatel Pop C5 Blanco;1410;217900;181900;186900;192900;203900;ND;;;;;;;;;;;;;
3G - H+;Huawei Ascend Y330 DS;1405;167900;131900;135900;139900;147900;ND;;;;;;;;;;;;;
3G - H+;Huawei Ascend Y330 DS Blanco;1406;167900;131900;135900;139900;147900;ND;;;;;;;;;;;;;
3G - H+;Iphone 4S 8GB Blanco;1449;685900;649900;769900;769900;769900;811900;;;;;;;;;;;;;
3G - H+;Iphone 4S 8GB Negro;1448;685900;649900;769900;769900;769900;811900;;;;;;;;;;;;;
3G - H+;Lumia 530;1411;145900;109900;112900;115900;123088;ND;;;;;;;;;;;;;
3G - H+;Samsung Galaxy Pocket DS;1414;135900;99900;102900;105900;111888;ND;;;;;;;;;;;;;
3G - H+;Samsung Galaxy Young 2;1346;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;Samsung Galaxy Young 2 Blanco;1347;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G - H+;ZTE Blade C2;1401;105900;69900;69900;69900;ND;ND;;;;;;;;;;;;;
3G - H+;ZTE Blade C2 Blanco;1402;105900;69900;69900;69900;ND;ND;;;;;;;;;;;;;
