Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
3G;Lumia 435 DS;1554;96900;60900;60900;60900;ND;ND;;;;;;;;;;;;;
3G;Modem ATI UM 100;553;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem Huawei 3G E1756 C;857;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem Seguimiento SkyPatrol 3G;1733;ND;399900;411900;423900;447900;495900;;;;;;;;;;;;;
3G;Modem SkyPatrol TT8750;610;ND;155900;160900;164900;174900;ND;;;;;;;;;;;;;
3G;Modem USB 3G Alcatel X602;1531;108900;72900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB 3G E1756;718;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB 3G Huawei E173 Verde;914;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB 3G Huawei E173 ;910;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB 3G ZTE MF193;982;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB Huawei E303;1071;108900;72900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem USB Huawei E353 HSPA+;1050;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem ZTE USB  MF669 HSPA+;1072;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Modem ZTE USB 3G MF190;978;95900;59900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Moto G;1207;297900;261900;269900;277900;293900;ND;;;;;;;;;;;;;
3G;Motorola MB632 Pro+;1032;805900;769900;769900;769900;769900;777900;;;;;;;;;;;;;
3G;Motorola Moto E DS;1418;167900;131900;135900;139900;147900;ND;;;;;;;;;;;;;
3G;Motorola Motokey Social;1022;212900;176900;176900;176900;176900;ND;;;;;;;;;;;;;
3G;Motorola Razr;1033;1225900;1189900;1189900;1189900;1189900;1322900;;;;;;;;;;;;;
3G;Movistar One;997;242900;206900;206900;206900;206900;ND;;;;;;;;;;;;;
3G;Nokia 208;1198;135900;99900;121900;121900;121900;ND;;;;;;;;;;;;;
3G;Nokia 2710 Navigation ED;820;262900;226900;226900;226900;226900;ND;;;;;;;;;;;;;
3G;Nokia 302;1041;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia 302 Blanco;1108;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia 5230;769;430900;394900;394900;394900;394900;425900;;;;;;;;;;;;;
3G;Nokia C2-01;922;155900;119900;122900;126900;133900;ND;;;;;;;;;;;;;
3G;Nokia C2-01 Plateado;1107;155900;119900;122900;126900;133900;ND;;;;;;;;;;;;;
3G;Nokia C5-03 ;918;475900;439900;439900;439900;439900;474900;;;;;;;;;;;;;
3G;Nokia E5-00;842;452900;416900;416900;416900;416900;449900;;;;;;;;;;;;;
3G;Nokia E5-00 Negro;975;452900;416900;416900;416900;416900;449900;;;;;;;;;;;;;
3G;Nokia E72;730;839900;803900;803900;803900;803900;811900;;;;;;;;;;;;;
3G;Nokia Lumia 510;1088;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 520;1130;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 520 Amarillo;1131;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 520 Amarillo Camiseta Selección Colombia;1326;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 520 Camiseta Selección Colombia;1325;71900;35900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 535;1510;165900;129900;133900;137900;145488;ND;;;;;;;;;;;;;
3G;Nokia Lumia 610;1060;108900;72900;72900;72900;ND;ND;;;;;;;;;;;;;
3G;Nokia Lumia 720;1167;361900;325900;341900;341900;341900;344900;;;;;;;;;;;;;
3G;Nokia Lumia 800;1036;549900;513900;539900;539900;539900;544900;;;;;;;;;;;;;
3G;Nokia Lumia 900 Action;1061;558900;522900;548900;548900;548900;553900;;;;;;;;;;;;;
3G;Nokia Lumia710;1035;355900;319900;335900;335900;335900;338900;;;;;;;;;;;;;
